,,index,rate_min_windows_future,rate_max_windows_future
AAPL,0,"(-0.001, 0.0361]",-0.09866954183305107,
AAPL,1,"(0.0361, 0.105]",-0.11867231457058265,
AAPL,2,"(0.105, 0.182]",-0.15000212220271905,
AAPL,3,"(0.182, 0.278]",-0.18149539012892812,
AAPL,4,"(0.278, 0.422]",-0.21882602111925706,
AAPL,5,"(0.422, 2.68]",-0.251389800189964,
AAPL,6,"(-0.656, -0.329]",,0.37269017541734056
AAPL,7,"(-0.329, -0.245]",,0.30209220621541255
AAPL,8,"(-0.245, -0.164]",,0.27182660122669655
AAPL,9,"(-0.164, -0.0924]",,0.23208348788731673
AAPL,10,"(-0.0924, -0.0317]",,0.18167190740939837
AAPL,11,"(-0.0317, 0.0]",,0.15961305379006438
AB,0,"(-0.001, 0.0543]",-0.12262161034803386,
AB,1,"(0.0543, 0.123]",-0.14458002600870337,
AB,2,"(0.123, 0.203]",-0.1701787965144992,
AB,3,"(0.203, 0.309]",-0.1898553987447143,
AB,4,"(0.309, 0.477]",-0.2253046645895851,
AB,5,"(0.477, 12.696]",-0.39616846281560225,
AB,6,"(-0.931, -0.47]",,2.1492371801545445
AB,7,"(-0.47, -0.316]",,0.6282148895821138
AB,8,"(-0.316, -0.231]",,0.5080451682667431
AB,9,"(-0.231, -0.149]",,0.5082654971130686
AB,10,"(-0.149, -0.0664]",,0.5098484208311649
AB,11,"(-0.0664, 0.0]",,0.49453614927697015
ABC,0,"(-0.001, 0.0278]",-0.08587954141206358,
ABC,1,"(0.0278, 0.0828]",-0.10236143598863784,
ABC,2,"(0.0828, 0.147]",-0.11826793355443335,
ABC,3,"(0.147, 0.225]",-0.1430403092774518,
ABC,4,"(0.225, 0.337]",-0.18840448244217262,
ABC,5,"(0.337, 2.167]",-0.25060118534998693,
ABC,6,"(-0.594, -0.29]",,0.2843518181650475
ABC,7,"(-0.29, -0.203]",,0.2360076376411841
ABC,8,"(-0.203, -0.14]",,0.2434550342150767
ABC,9,"(-0.14, -0.0825]",,0.20508054259058203
ABC,10,"(-0.0825, -0.032]",,0.14776326634969575
ABC,11,"(-0.032, 0.0]",,0.1660150805188053
ABT,0,"(-0.001, 0.0359]",-0.0852201741268574,
ABT,1,"(0.0359, 0.0867]",-0.10493957222075881,
ABT,2,"(0.0867, 0.14]",-0.12649551253454996,
ABT,3,"(0.14, 0.212]",-0.14861270625478057,
ABT,4,"(0.212, 0.332]",-0.1814130214235838,
ABT,5,"(0.332, 3.139]",-0.23135008276214702,
ABT,6,"(-0.612, -0.267]",,0.2830837749935959
ABT,7,"(-0.267, -0.195]",,0.25123665477502055
ABT,8,"(-0.195, -0.142]",,0.23656340469783055
ABT,9,"(-0.142, -0.0946]",,0.18789380291681382
ABT,10,"(-0.0946, -0.0424]",,0.1570670648796914
ABT,11,"(-0.0424, 0.0]",,0.16414516557196696
ACIW,0,"(-0.001, 0.0456]",-0.11614378459665749,
ACIW,1,"(0.0456, 0.113]",-0.14601432017919605,
ACIW,2,"(0.113, 0.187]",-0.16003622327788392,
ACIW,3,"(0.187, 0.282]",-0.19369245799642928,
ACIW,4,"(0.282, 0.459]",-0.21666256911550122,
ACIW,5,"(0.459, 5.985]",-0.2846253363912239,
ACIW,6,"(-0.865, -0.372]",,0.6483692968202406
ACIW,7,"(-0.372, -0.265]",,0.48385932416670757
ACIW,8,"(-0.265, -0.192]",,0.37825899124030987
ACIW,9,"(-0.192, -0.129]",,0.28204131732361903
ACIW,10,"(-0.129, -0.0633]",,0.29554281915684943
ACIW,11,"(-0.0633, 0.0]",,0.29736280229111156
ACN,0,"(-0.001, 0.0402]",-0.09382711399715148,
ACN,1,"(0.0402, 0.103]",-0.11283196246460325,
ACN,2,"(0.103, 0.168]",-0.12428453100407814,
ACN,3,"(0.168, 0.26]",-0.15762810567615126,
